host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2010-11-01,100%,97%,t,,3,3,t,t,Hollywood,26.01859,-80.1243,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,$250.00,t,23,60,2,0,2013-01-03,2024-03-08,4.64,4.7,4.63,5.0,4.97,4.88,4.7,f,2,2,0,0,0.43
2011-03-21,100%,98%,f,,17,20,t,t,Dania Beach,26.03392,-80.14201,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,$85.00,t,12,32,5,0,2011-11-01,2024-04-27,4.78,4.88,4.84,4.94,4.91,4.81,4.88,f,10,10,0,0,0.21
2011-05-28,90%,19%,f,Sunny Isles Beach,9,19,t,t,Hollywood,25.99414,-80.11814,Entire condo,Entire home/apt,5,1.5,1.5 baths,1.0,2.0,$110.00,t,23,28,1,0,2011-08-23,2024-03-14,4.32,4.44,4.27,4.46,4.35,4.56,4.12,f,5,5,0,0,0.18
2011-08-05,,,f,,2,3,t,f,Deerfield Beach,26.30707,-80.07793,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,$119.00,t,29,25,0,0,2012-01-04,2019-11-08,4.25,4.39,4.46,4.83,4.87,4.87,4.43,f,1,1,0,0,0.16
2011-08-13,100%,90%,t,,1,2,t,t,Hollywood,26.0077,-80.19722,Entire home,Entire home/apt,10,3.0,3 baths,4.0,7.0,,t,12,111,10,0,2012-01-02,2024-04-13,4.81,4.78,4.8,4.93,4.77,4.77,4.75,f,1,1,0,0,0.73
2011-05-28,90%,19%,f,Sunny Isles Beach,9,19,t,t,Hollywood,25.99398,-80.11677,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,1.0,3.0,$250.00,t,30,18,0,0,2011-11-21,2018-03-19,4.93,4.88,4.81,5.0,5.0,4.88,4.81,f,5,5,0,0,0.12
2011-03-21,100%,98%,f,,17,20,t,t,Dania Beach,26.03392,-80.14201,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,$80.00,t,0,14,2,0,2012-07-28,2024-01-08,4.54,4.43,4.43,4.79,4.93,4.5,4.5,f,10,10,0,0,0.1
2011-10-17,94%,98%,t,,7,10,t,t,Hollywood,26.02584,-80.14191,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,$98.00,t,21,264,27,0,2012-01-02,2024-05-25,4.84,4.88,4.87,4.93,4.92,4.67,4.79,f,4,4,0,0,1.74
2012-01-09,100%,100%,f,,2,3,t,t,Miramar,25.98766,-80.31598,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,$75.00,t,17,49,0,0,2012-03-13,2023-02-25,4.96,4.96,4.94,4.9,4.98,4.88,4.84,f,2,0,2,0,0.33
2011-10-17,94%,98%,t,,7,10,t,t,Hollywood,26.0257,-80.14105,Entire home,Entire home/apt,2,1.0,1 bath,0.0,1.0,$48.00,t,23,226,23,0,2013-02-14,2024-05-18,4.79,4.82,4.91,4.87,4.87,4.71,4.74,f,4,4,0,0,1.63
2012-02-18,100%,97%,t,Baristo,479,531,t,t,Fort Lauderdale,26.1369065,-80.1051716,Entire condo,Entire home/apt,6,1.0,1 bath,1.0,3.0,$329.00,t,3,36,2,0,2012-05-29,2024-02-23,4.69,4.82,4.85,4.47,4.79,4.71,4.65,f,22,22,0,0,0.24
2012-03-03,100%,88%,t,,2,2,t,t,Fort Lauderdale,26.12683,-80.13549,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$89.00,t,18,47,18,1,2012-05-17,2024-06-21,4.83,4.91,4.72,4.91,5.0,4.96,4.85,f,2,2,0,0,0.32
2010-09-19,,100%,f,Hollywood South Central Beach,2,2,t,t,Hollywood,26.00741,-80.11596,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,3.0,$150.00,t,23,8,0,0,2012-04-15,2019-04-01,5.0,5.0,5.0,4.88,4.88,4.88,4.88,f,1,1,0,0,0.05
2012-03-03,100%,88%,t,,2,2,t,t,Fort Lauderdale,26.12676,-80.13657,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$99.00,t,27,33,6,0,2012-06-18,2024-02-25,4.85,4.76,4.79,4.97,4.97,4.91,4.85,f,2,2,0,0,0.23
2012-04-18,,,f,,1,2,t,f,Pompano Beach,26.21709,-80.12193,Entire home,Entire home/apt,6,3.0,3 baths,3.0,3.0,$385.00,t,28,2,0,0,2014-04-09,2015-01-06,4.0,3.5,3.0,5.0,5.0,3.5,2.5,f,1,1,0,0,0.02
2012-03-09,100%,100%,f,,1,1,t,t,Fort Lauderdale,26.1772,-80.09872,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$175.00,t,10,159,16,0,2012-08-31,2024-05-12,4.74,4.88,4.77,4.95,4.97,4.89,4.83,t,1,1,0,0,1.1
2011-05-28,90%,19%,f,Sunny Isles Beach,9,19,t,t,Hollywood,25.99276,-80.11819,Entire condo,Entire home/apt,7,2.0,2 baths,2.0,4.0,$297.00,t,29,25,0,0,2012-07-14,2021-03-19,4.61,4.88,4.48,4.76,4.6,4.64,4.44,f,5,5,0,0,0.17
2012-01-09,100%,100%,f,,2,3,t,t,Miramar,25.98653,-80.31554,Private room in guesthouse,Private room,2,1.0,1 private bath,1.0,1.0,$57.00,t,0,49,2,0,2012-09-09,2024-05-08,5.0,4.98,4.96,5.0,5.0,5.0,5.0,f,2,0,2,0,0.34
2012-02-18,100%,97%,t,Baristo,479,531,t,t,Fort Lauderdale,26.1369065,-80.1051716,Entire condo,Entire home/apt,8,2.0,2 baths,2.0,4.0,$479.00,t,0,30,3,0,2012-09-20,2024-03-09,4.75,4.79,4.79,4.76,4.83,4.69,4.69,f,22,22,0,0,0.21
2012-02-18,100%,97%,t,Baristo,479,531,t,t,Fort Lauderdale,26.1369065,-80.1051716,Entire condo,Entire home/apt,6,1.0,1 bath,1.0,3.0,$359.00,t,3,29,3,0,2012-09-17,2024-03-23,4.52,4.62,4.66,4.79,4.76,4.76,4.45,f,22,22,0,0,0.2
2012-09-03,100%,92%,f,,2,2,t,t,Hollywood,25.98806,-80.11844,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1.0,2.0,$149.00,t,26,38,6,0,2013-07-24,2024-05-27,4.57,4.58,4.5,4.74,4.87,4.61,4.45,t,1,1,0,0,0.29
2012-02-18,100%,97%,t,Baristo,479,531,t,t,Fort Lauderdale,26.1369065,-80.1051716,Entire condo,Entire home/apt,6,1.0,1 bath,1.0,3.0,$329.00,t,3,26,4,0,2012-10-24,2024-03-21,4.52,4.54,4.58,4.58,4.77,4.69,4.36,f,22,22,0,0,0.18
2012-02-18,100%,97%,t,Baristo,479,531,t,t,Fort Lauderdale,26.1369065,-80.1051716,Entire condo,Entire home/apt,8,2.0,2 baths,2.0,4.0,$429.00,t,0,41,4,0,2012-10-01,2024-03-23,4.83,4.95,4.9,4.68,4.88,4.83,4.8,f,22,22,0,0,0.29
2012-09-27,,,f,,1,1,t,t,Fort Lauderdale,26.14284,-80.1256,Entire home,Entire home/apt,4,2.0,2 baths,2.0,2.0,$550.00,t,30,210,0,0,2012-11-11,2018-03-18,4.87,4.93,4.95,4.94,4.93,4.8,4.82,f,1,1,0,0,1.48
2012-06-11,90%,99%,f,,2,2,t,t,Hollywood,26.0073,-80.15713,Entire home,Entire home/apt,10,5.0,5 baths,5.0,6.0,$558.00,t,15,295,17,2,2012-11-08,2024-06-17,4.83,4.83,4.75,4.96,4.92,4.81,4.79,t,2,2,0,0,2.08
2012-11-01,100%,100%,t,,1,2,t,t,Fort Lauderdale,26.16618,-80.11688,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$400.00,t,29,68,3,0,2013-01-26,2024-03-31,4.8,4.81,4.72,4.91,4.93,4.74,4.68,f,1,1,0,0,0.49
2010-11-01,100%,97%,t,,3,3,t,t,Hollywood,26.01857476677565,-80.12626867947289,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$191.00,t,23,0,0,0,,,,,,,,,,f,2,2,0,0,
2011-03-21,100%,98%,f,,17,20,t,t,Dania Beach,26.03392,-80.14201,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$55.00,t,0,100,0,0,2013-02-07,2021-06-26,4.42,4.56,4.26,4.82,4.82,4.34,4.63,f,10,10,0,0,0.72
2013-01-31,,,t,,1,1,t,t,Hollywood,26.02478,-80.1479,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,$75.00,t,0,19,0,0,2018-11-04,2023-05-19,4.89,4.74,4.58,4.79,4.79,4.68,4.74,f,1,1,0,0,0.28
2011-03-21,100%,98%,f,,17,20,t,t,Dania Beach,26.03392,-80.14201,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,$79.00,t,12,27,3,0,2014-04-01,2024-03-25,4.81,4.54,4.58,5.0,4.96,4.81,4.69,f,10,10,0,0,0.22
2013-03-18,88%,69%,f,,13,13,t,t,Lauderhill,26.1782,-80.22414,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,$61.00,t,29,22,1,0,2014-03-31,2024-01-27,4.48,4.48,4.38,4.62,4.67,4.48,4.62,f,12,0,12,0,0.18
2010-09-20,100%,100%,t,,1,1,t,t,Pembroke Pines,26.01745,-80.25884,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$267.00,t,30,29,6,0,2013-08-18,2024-04-04,4.86,4.83,4.79,4.9,4.9,4.76,4.72,f,1,1,0,0,0.22
2013-03-18,88%,69%,f,,13,13,t,t,North Lauderdale,26.21665,-80.22905,Private room in home,Private room,2,1.0,1 bath,1.0,1.0,$69.00,t,0,14,0,0,2015-02-24,2017-03-25,4.64,4.64,4.71,4.86,4.93,3.93,4.71,f,12,0,12,0,0.12
